                                   Produced by tracking algorithm WTRACK revision 167, developed by Freie Universitaet Berlin-Institute of Meteorology
        DATE INDEX  SIZE     AREA     LON     LAT   RADIUS   MEANV    STDV    MINV    MAXV  LONMAX  LATMAX       SSIn       SSIs         SSIu      SSIan
Event: 208400001 Start:   2084100100 Length:  6 Area:     215.340 SSIscaled:      3.94851 SSIarea:      4.98186
  2084100100     1   119  114.393  149.05   51.06  1207.70   31.39    4.20   24.11   42.05  149.62   49.91    1.67998   37428.29     3018666.2    2.11964
  2084100106     1   127  119.971  151.04   51.50  1297.00   31.73    4.22   24.54   41.65  150.75   49.91    1.57510   36841.32     3268271.5    1.98731
  2084100112     1   135  126.168  153.49   50.87  1506.28   30.43    3.60   23.54   38.50  154.12   48.78    0.51010   13284.21     2997784.2    0.64360
  2084100118     1   120  111.379  155.74   52.12  1441.76   29.83    3.17   24.15   35.91  160.88   48.78    0.16991    4441.95     2473038.2    0.21438
  2084100200     1    57   57.574  158.74   49.19  1011.79   30.12    2.62   24.87   34.40  164.25   48.78    0.01150     370.20     1300962.2    0.01451
  2084100206     1    21   21.419  166.38   49.35   446.40   32.02    0.83   30.61   33.36  165.38   48.78    0.00191      70.56      569807.4    0.00241
Event: 208400014 Start:   2084100206 Length:  4 Area:      87.631 SSIscaled:      0.06890 SSIarea:      0.08693
  2084100206    14    25   18.319  183.58   62.13   487.67   27.28    0.94   25.37   29.01  187.88   60.00    0.00398      84.16      301911.3    0.00503
  2084100212    14    46   32.932  186.13   63.02   786.20   28.10    1.49   25.42   30.37  193.50   60.00    0.02783     585.81      595762.4    0.03511
  2084100218    14    43   29.401  191.62   64.03   779.50   28.32    1.72   24.43   31.10  195.75   62.24    0.03344     712.49      545868.7    0.04219
  2084100300    14    25   15.712  195.24   66.26   432.66   25.83    0.92   24.14   27.10  201.38   63.36    0.00365      66.05      219746.6    0.00460
Event: 208400015 Start:   2084100206 Length:  7 Area:     111.695 SSIscaled:      0.87656 SSIarea:      1.10595
  2084100206    15    22   16.222  110.11   62.07   328.42   21.75    1.04   20.26   23.87  110.25   62.24    0.01347     136.96      136000.1    0.01699
  2084100212    15    37   27.144  116.69   62.65   501.02   21.32    0.92   18.21   22.62  117.00   62.24    0.02165     193.17      213988.2    0.02732
